Date,Carnation,Normandy Park,Sammamish,Covington,Kent,Issaquah,Renton,Bothell,Kirkland,Federal Way,Shoreline,SeaTac,Beaux Arts Village,Medina,Algona,Black Diamond,Newcastle,Snoqualmie,Yarrow Point,Milton,Duvall,Enumclaw,North Bend,Burien  ,Tukwila,Lake Forest Park,Clyde Hill,Mercer Island,Bellevue,Woodinville,Redmond,Hunts Point,Maple Valley,Kenmore,Pacific,Auburn,Skykomish,Des Moines,Seattle
2015-12-28,0,0,1,1,18,3,24,1,7,15,3,7,0,0,3,1,2,0,0,0,1,1,1,2,13,1,0,2,18,2,7,0,0,0,0,13,0,2,82
2016-01-04,1,2,6,8,75,17,37,17,29,26,10,21,0,0,0,2,0,2,1,2,2,3,1,17,26,5,0,8,74,3,22,1,2,6,2,40,0,6,267
2016-01-11,0,1,7,5,74,15,65,15,32,40,23,18,0,0,2,0,5,3,0,0,0,3,2,14,45,4,0,5,88,7,34,1,5,7,1,42,0,8,301
2016-01-18,0,2,3,6,70,12,54,8,29,44,12,21,0,1,1,0,1,2,1,1,0,4,2,10,31,1,0,4,85,6,24,2,2,3,2,36,0,5,259
2016-01-25,0,0,5,3,59,11,43,11,18,52,9,14,0,0,2,0,0,0,0,2,0,2,1,9,39,3,0,5,65,5,12,1,3,8,1,32,0,10,240
2016-02-01,0,2,4,3,69,10,46,11,31,42,11,17,0,0,1,0,2,1,0,0,0,1,2,12,28,2,0,6,53,6,18,1,2,3,2,24,0,6,244
2016-02-08,0,1,7,5,80,11,64,13,27,60,15,19,0,0,0,1,0,3,0,1,0,2,2,11,33,4,0,1,69,6,23,1,5,6,2,33,0,5,267
2016-02-15,0,0,3,6,54,8,45,4,15,35,15,19,0,0,1,0,2,2,0,0,0,0,0,12,29,4,0,4,53,3,16,0,4,4,1,25,0,4,227
2016-02-22,0,1,5,7,62,8,35,13,21,41,15,23,0,0,1,1,0,3,0,2,0,3,1,18,32,1,2,7,57,3,18,0,2,2,2,34,0,8,258
2016-02-29,0,0,5,8,76,9,58,11,28,53,16,24,0,0,1,0,2,1,0,0,1,6,4,17,29,0,0,7,63,7,19,0,7,2,4,32,0,4,338
2016-03-07,0,1,3,1,78,8,64,12,30,68,15,24,0,1,2,2,2,4,0,3,0,3,0,10,45,2,1,9,59,3,32,1,8,4,3,37,0,7,297
2016-03-14,0,2,5,2,58,10,56,5,26,32,13,15,0,1,2,0,2,0,0,3,1,1,3,16,36,3,0,9,58,1,18,0,3,3,2,36,0,7,221
2016-03-21,0,1,6,4,73,11,47,12,22,45,16,14,0,0,1,1,2,1,0,2,0,0,2,18,42,1,1,2,56,7,19,1,5,4,1,31,0,8,271
2016-03-28,0,0,7,5,58,8,43,8,32,38,19,21,0,1,2,1,1,1,0,1,0,4,0,16,32,5,0,8,44,5,17,1,5,4,1,24,0,6,271
2016-04-04,0,1,0,5,55,7,33,12,21,40,6,24,0,0,1,0,1,1,0,0,0,2,1,15,25,1,1,8,36,5,15,0,2,6,1,35,0,2,222
2016-04-11,0,0,4,7,51,8,53,9,21,42,15,22,0,0,1,0,0,0,0,2,0,1,0,13,33,3,0,7,48,5,20,0,3,2,3,28,0,6,202
2016-04-18,0,0,4,6,50,6,37,15,23,56,19,25,0,0,0,2,0,2,0,0,1,3,1,13,28,6,0,4,61,2,12,0,2,5,1,27,0,2,274
2016-04-25,0,0,4,8,51,6,35,9,28,43,29,21,0,2,0,1,5,2,0,3,2,1,1,12,31,2,0,8,54,3,22,0,2,7,1,36,0,10,246
2016-05-02,0,0,5,4,62,6,50,7,29,45,20,18,0,0,4,3,3,1,0,0,0,3,1,16,38,3,0,3,41,6,17,1,4,5,1,35,0,4,266
2016-05-09,0,1,8,5,67,14,48,16,22,38,25,20,0,1,3,1,0,2,0,1,1,3,2,7,24,2,0,9,65,5,19,0,2,11,3,38,0,7,249
2016-05-16,0,1,8,1,82,12,52,9,22,41,14,26,0,0,0,0,1,1,0,1,0,1,1,15,31,2,0,5,67,5,29,2,3,3,2,42,0,9,249
2016-05-23,0,1,4,3,54,5,41,8,26,56,11,20,0,0,0,0,1,2,0,0,2,1,2,14,31,3,2,8,46,1,14,1,4,3,2,27,0,2,231
2016-05-30,0,1,9,5,50,5,56,7,15,39,23,20,0,2,1,0,2,2,0,1,0,6,3,11,32,1,1,13,56,8,19,1,7,2,2,32,0,3,238
2016-06-06,0,1,3,4,66,12,41,9,34,42,24,25,0,0,2,0,2,4,0,1,0,6,1,14,35,4,0,4,64,5,20,1,5,4,0,31,0,6,260
2016-06-13,0,0,11,6,52,14,54,9,29,43,21,35,0,1,1,0,3,5,0,3,1,2,0,18,38,4,0,3,63,5,20,0,4,3,3,38,0,4,253
2016-06-20,0,1,7,4,73,12,56,6,26,46,18,23,0,1,4,1,1,1,0,1,0,1,5,15,26,4,0,1,39,8,16,0,0,2,1,30,0,5,240
2016-06-27,0,1,4,11,69,9,37,10,23,52,20,13,0,2,4,0,0,1,1,1,0,3,0,14,32,2,0,6,63,3,22,0,4,3,1,28,0,6,228
2016-07-04,0,1,5,5,62,14,35,12,22,38,15,26,0,1,4,0,0,0,0,1,1,2,1,11,19,1,1,5,61,5,8,0,4,6,3,32,0,7,231
2016-07-11,0,0,2,5,53,6,44,11,26,38,22,27,0,3,3,2,3,0,0,0,0,3,1,16,39,4,0,9,53,6,22,2,2,7,2,33,0,8,215
2016-07-18,0,2,3,8,75,8,51,11,27,33,21,30,0,1,3,0,3,0,1,1,1,4,2,6,30,7,0,6,44,5,20,1,2,6,1,37,0,12,271
2016-07-25,0,1,7,8,59,14,61,14,25,38,18,30,0,0,0,2,0,2,0,0,1,9,0,13,42,6,2,7,69,8,23,1,2,3,2,25,0,10,279
2016-08-01,0,0,1,2,68,11,52,9,38,47,14,38,0,2,1,1,2,0,0,2,1,1,2,15,34,2,1,10,45,3,14,0,4,3,4,26,0,5,243
2016-08-08,0,0,4,9,61,17,44,9,23,51,18,15,0,0,1,0,2,1,0,0,2,4,3,10,36,1,0,4,53,2,20,0,2,6,2,26,0,10,253
2016-08-15,0,0,7,6,58,12,47,8,37,46,17,36,0,0,1,0,1,0,0,0,1,2,0,20,38,3,2,4,67,5,17,0,6,3,5,27,0,10,247
2016-08-22,1,1,5,1,56,6,32,10,16,39,16,25,0,1,0,1,1,1,0,2,0,5,1,9,32,3,1,8,67,13,31,1,6,5,4,29,0,6,261
2016-08-29,0,1,5,4,55,9,49,9,13,55,11,21,0,0,5,0,0,3,0,2,1,1,0,14,29,1,0,2,46,9,15,0,2,8,3,30,0,7,283
2016-09-05,0,1,3,9,73,8,62,11,16,36,12,29,0,0,1,0,1,3,0,2,0,0,0,16,30,3,0,6,43,6,22,0,5,4,3,29,0,9,201
2016-09-12,1,0,8,10,75,13,58,13,21,60,16,25,0,0,6,0,0,2,0,0,0,3,2,24,36,1,0,5,53,4,22,0,4,7,1,39,0,7,280
2016-09-19,0,0,9,7,66,19,50,12,28,33,16,26,0,0,5,0,0,2,0,0,0,3,1,13,27,1,0,10,71,8,24,0,5,6,3,41,0,4,281
2016-09-26,0,0,9,3,62,13,45,17,29,54,12,25,0,0,1,0,1,1,1,0,0,1,0,18,38,1,0,6,68,5,17,0,4,5,2,39,0,9,249
2016-10-03,1,1,6,7,97,13,70,17,32,49,21,35,0,0,3,2,2,2,0,1,4,4,2,13,52,4,1,4,82,7,18,0,5,4,2,29,0,7,340
